Side,Price,Quantity,Total
ASK,2690.910,0.00380000,10.225458
ASK,2690.920,4.16800000,11215.754560000001
ASK,2690.970,0.80020000,2153.314194
ASK,2690.990,1.32310000,3560.4488689999994
ASK,2691.000,3.44350000,9266.458499999999
ASK,2691.010,1.72550000,4643.3377550000005
ASK,2691.020,13.75600000,37017.67112
ASK,2691.030,0.35940000,967.1561820000001
ASK,2691.040,1.32040000,3553.249216
ASK,2691.050,1.24150000,3340.938575
ASK,2691.060,25.65860000,69048.832116
ASK,2691.070,6.65100000,17898.30657
ASK,2691.080,11.92740000,32097.587592
ASK,2691.120,3.66420000,9860.801904
ASK,2691.130,8.04580000,21652.293754000002
ASK,2691.140,13.79100000,37113.51174
ASK,2691.150,0.00200000,5.3823
ASK,2691.160,2.55970000,6888.562252
ASK,2691.170,6.43480000,17317.140716
ASK,2691.190,3.70900000,9981.62371
ASK,2691.210,0.00570000,15.339897
ASK,2691.230,1.31450000,3537.621835
ASK,2691.240,1.23030000,3311.0325719999996
ASK,2691.250,2.47090000,6649.809625
ASK,2691.260,0.00190000,5.113394
ASK,2691.290,2.32430000,6255.365347
ASK,2691.300,5.49850000,14798.113050000002
ASK,2691.330,1.27520000,3431.9840159999994
ASK,2691.370,0.00200000,5.38274
ASK,2691.380,0.00380000,10.227244
ASK,2691.410,1.31540000,3540.2807139999995
ASK,2691.420,2.48490000,6687.909558
ASK,2691.430,7.87290000,21189.359246999997
ASK,2691.440,6.30000000,16956.072
ASK,2691.450,0.00380000,10.227509999999999
ASK,2691.470,12.24010000,32943.861947
ASK,2691.480,1.31450000,3537.95046
ASK,2691.490,2.30110000,6193.387639
ASK,2691.520,0.00570000,15.341664
ASK,2691.560,0.00190000,5.113964
ASK,2691.570,38.17170000,102741.802569
ASK,2691.580,0.31290000,842.195382
ASK,2691.600,0.74400000,2002.5503999999999
ASK,2691.620,4.18380000,11261.199755999998
ASK,2691.640,9.28510000,24992.146564
ASK,2691.650,0.36240000,975.45396
ASK,2691.670,14.49390000,39012.795813000004
ASK,2691.680,20.00000000,53833.6
ASK,2691.690,1.63360000,4397.144784
ASK,2691.700,0.00380000,10.22846
ASK,2691.710,6.30000000,16957.773
ASK,2691.760,0.19840000,534.0451840000001
ASK,2691.770,0.00380000,10.228726
ASK,2691.780,0.74420000,2003.222676
ASK,2691.790,2.62900000,7076.71591
ASK,2691.800,4.17540000,11239.34172
ASK,2691.850,0.00300000,8.07555
ASK,2691.860,37.14380000,99985.909468
ASK,2691.890,0.00380000,10.229182
ASK,2691.910,3.70900000,9984.29419
ASK,2691.920,0.00190000,5.114648
ASK,2691.940,2.92570000,7875.808858
ASK,2691.960,13.41890000,36123.142044
ASK,2691.970,0.00380000,10.229486
ASK,2691.980,7.55430000,20336.024514
ASK,2691.990,0.20000000,538.398
ASK,2692.000,0.00200000,5.384
ASK,2692.010,0.00190000,5.114819000000001
ASK,2692.030,1.11600000,3004.3054800000004
ASK,2692.040,0.00420000,11.306567999999999
ASK,2692.050,0.04450000,119.796225
ASK,2692.060,0.35730000,961.873038
ASK,2692.080,0.00620000,16.690896
ASK,2692.090,4.57780000,12323.849602
ASK,2692.100,0.00380000,10.22998
ASK,2692.110,1.86130000,5010.824343
ASK,2692.120,4.18000000,11253.061599999999
ASK,2692.140,0.00760000,20.460264
ASK,2692.160,0.56010000,1507.8788160000001
ASK,2692.170,0.00380000,10.230246000000001
ASK,2692.220,1.31450000,3538.9231899999995
ASK,2692.230,3.66040000,9854.638692
ASK,2692.240,0.00380000,10.230512
ASK,2692.250,6.30000000,16961.175
ASK,2692.280,0.00190000,5.115332
ASK,2692.300,9.28510000,24998.27473
ASK,2692.370,0.00380000,10.231005999999999
ASK,2692.380,4.18150000,11258.18697
ASK,2692.460,0.74810000,2014.229326
ASK,2692.470,1.05440000,2838.9403679999996
ASK,2692.500,0.02120000,57.081
ASK,2692.520,6.30000000,16962.876
ASK,2692.530,0.00380000,10.231614
ASK,2692.550,42.85560000,115390.84578000002
ASK,2692.560,0.90190000,2428.419864
ASK,2692.570,3.71740000,10009.359718000002
ASK,2692.580,3.72020000,10016.936116
ASK,2692.600,0.00380000,10.23188
ASK,2692.640,0.55190000,1486.0680159999997
ASK,2692.670,0.00380000,10.232146
ASK,2692.690,1.25430000,3377.441067
ASK,2692.750,0.04450000,119.82737499999999
ASK,2692.760,2.87970000,7754.340972000001
ASK,2692.770,0.00700000,18.84939
ASK,2692.780,3.70900000,9987.52102
ASK,2692.790,6.30000000,16964.576999999997
ASK,2692.800,3.66420000,9866.957760000001
ASK,2692.810,10.83580000,29178.750598000002
ASK,2692.830,8.06670000,21722.251761000003
ASK,2692.850,0.09080000,244.51078
ASK,2692.860,9.28510000,25003.474386
ASK,2692.870,0.02520000,67.86032399999999
ASK,2692.890,0.00380000,10.232982
ASK,2692.900,4.33660000,11678.030139999999
ASK,2692.910,75.38320000,203000.173112
ASK,2692.930,0.00570000,15.349701
ASK,2692.940,0.00620000,16.696228
ASK,2692.990,0.00380000,10.233362
ASK,2693.000,0.00190000,5.1167
ASK,2693.050,3.11950000,8400.969475
ASK,2693.060,6.30000000,16966.278
ASK,2693.080,0.00190000,5.116852
ASK,2693.160,0.01210000,32.587236
ASK,2693.170,0.00380000,10.234046000000001
ASK,2693.210,0.18590000,500.66773900000004
ASK,2693.230,4.13660000,11140.815218
ASK,2693.240,0.60630000,1632.9114119999997
ASK,2693.250,0.00310000,8.349075
ASK,2693.330,6.30200000,16973.36566
ASK,2693.340,1.79220000,4827.0039480000005
ASK,2693.350,0.00190000,5.1173649999999995
ASK,2693.360,0.31060000,836.557616
ASK,2693.370,13.42590000,36160.916283
ASK,2693.380,3.80640000,10252.081632000001
ASK,2693.390,3.66040000,9858.884756
ASK,2693.410,9.28510000,25008.581190999997
ASK,2693.420,44.01350000,118546.84117
ASK,2693.470,5.83230000,15709.125080999998
ASK,2693.480,0.04450000,119.85986
ASK,2693.510,0.03430000,92.387393
ASK,2693.520,0.00770000,20.740104
ASK,2693.550,0.00210000,5.656455
ASK,2693.560,0.63990000,1723.609044
ASK,2693.600,6.30190000,16974.79784
ASK,2693.620,17.22890000,46408.109617999995
ASK,2693.650,0.19000000,511.79350000000005
ASK,2693.670,0.74350000,2002.7436450000002
ASK,2693.700,0.00360000,9.69732
ASK,2693.710,0.00190000,5.118049
ASK,2693.720,0.00400000,10.77488
ASK,2693.760,3.57520000,9630.730752000001
ASK,2693.770,0.00310000,8.350686999999999
ASK,2693.820,3.71740000,10014.006468000001
ASK,2693.840,0.01340000,36.097456
ASK,2693.870,3.72020000,10021.735174
ASK,2693.880,0.50260000,1353.9440880000002
ASK,2693.910,10.83350000,29184.473985
ASK,2693.940,28.99920000,78122.104848
ASK,2694.000,0.01490000,40.1406
ASK,2694.030,0.80820000,2177.315046
ASK,2694.040,3.57160000,9622.033264
ASK,2694.070,0.00450000,12.123315
ASK,2694.080,0.20000000,538.816
ASK,2694.100,0.18590000,500.83319
ASK,2694.110,3.75270000,10110.186597
ASK,2694.120,3.66230000,9866.675676
ASK,2694.140,0.50590000,1362.965426
ASK,2694.150,0.03000000,80.8245
ASK,2694.170,9.28510000,25015.637867
ASK,2694.210,37.63790000,101404.40655900001
ASK,2694.220,0.04450000,119.89278999999999
ASK,2694.230,0.00290000,7.813267
ASK,2694.250,0.00420000,11.31585
ASK,2694.280,0.00220000,5.927416000000001
ASK,2694.300,0.50590000,1363.04637
ASK,2694.320,0.00360000,9.699552
ASK,2694.330,0.00590000,15.896547
ASK,2694.350,0.00300000,8.08305
ASK,2694.360,0.02730000,73.55602800000001
ASK,2694.390,3.58610000,9662.351979
ASK,2694.430,0.00190000,5.119416999999999
ASK,2694.440,0.04890000,131.758116
ASK,2694.450,0.01180000,31.794509999999995
ASK,2694.510,8.06890000,21741.731739
ASK,2694.540,0.00770000,20.747958
ASK,2694.590,0.00790000,21.287261000000004
ASK,2694.620,0.00200000,5.38924
ASK,2694.630,0.61170000,1648.3051710000002
ASK,2694.640,0.00190000,5.119816
ASK,2694.650,4.09200000,11026.5078
ASK,2694.660,0.00410000,11.048106
ASK,2694.750,0.01510000,40.690725
ASK,2694.780,0.01880000,50.66186400000001
ASK,2694.790,0.00190000,5.120101
ASK,2694.900,2.89420000,7799.5795800000005
ASK,2694.910,0.50590000,1363.354969
ASK,2694.940,0.04450000,119.92483
ASK,2694.990,3.70900000,9995.71791
ASK,2695.000,10.14680000,27345.626
ASK,2695.020,10.83350000,29196.499170000003
ASK,2695.040,0.00300000,8.08512
ASK,2695.130,3.66040000,9865.253852
ASK,2695.150,0.00190000,5.120785000000001
ASK,2695.160,0.00470000,12.667252
ASK,2695.250,9.33330000,25155.576825
ASK,2695.270,0.22500000,606.43575
ASK,2695.280,0.01040000,28.030912
ASK,2695.290,0.01970000,53.097212999999996
ASK,2695.310,0.05000000,134.7655
ASK,2695.420,0.00190000,5.121298
ASK,2695.480,1.06810000,2879.0421880000004
ASK,2695.500,0.00190000,5.12145
ASK,2695.580,0.00210000,5.660717999999999
ASK,2695.660,0.04450000,119.95686999999998
ASK,2695.680,0.00190000,5.121792
ASK,2695.710,0.00250000,6.739275
ASK,2695.770,4.76620000,12848.578974000002
ASK,2695.780,0.00210000,5.661138
ASK,2695.790,0.00430000,11.591897
ASK,2695.860,0.00190000,5.122134
ASK,2695.880,0.00320000,8.626816000000002
ASK,2695.900,0.00260000,7.00934
ASK,2695.910,3.70900000,9999.13019
ASK,2696.000,0.01990000,53.650400000000005
ASK,2696.010,0.04560000,122.93805600000002
ASK,2696.050,0.00630000,16.985115
ASK,2696.070,75.76800000,204275.83176
ASK,2696.080,1.97090000,5313.704072
ASK,2696.090,2.95540000,7968.024386
ASK,2696.110,10.83350000,29208.307685000003
ASK,2696.170,0.00230000,6.201191
ASK,2696.200,6.67940000,18008.99828
ASK,2696.220,0.00190000,5.122818
ASK,2696.230,0.00320000,8.627936
ASK,2696.290,9.30620000,25092.213998
ASK,2696.300,1.79220000,4832.30886
ASK,2696.320,0.00250000,6.7408
ASK,2696.360,0.00220000,5.931992000000001
ASK,2696.380,0.09650000,260.20067
ASK,2696.450,0.00280000,7.550059999999999
ASK,2696.500,0.00200000,5.393
ASK,2696.550,0.00430000,11.595165000000001
ASK,2696.570,3.00180000,8094.563826
ASK,2696.580,0.00390000,10.516661999999998
ASK,2696.620,0.00610000,16.449382
ASK,2696.630,0.00290000,7.820227
ASK,2696.660,0.28320000,763.694112
ASK,2696.680,1.79220000,4832.989896
ASK,2696.720,0.00190000,5.123767999999999
ASK,2696.740,0.00250000,6.7418499999999995
ASK,2696.840,11.80440000,31834.578096
ASK,2696.850,0.04850000,130.797225
ASK,2696.870,0.00200000,5.39374
ASK,2696.940,0.00190000,5.124186
ASK,2696.950,0.00860000,23.193769999999997
ASK,2697.000,0.64400000,1736.868
ASK,2697.020,0.00500000,13.485100000000001
ASK,2697.050,0.00930000,25.082565
ASK,2697.090,0.04450000,120.020505
ASK,2697.140,0.39240000,1058.357736
ASK,2697.180,0.00480000,12.946463999999999
ASK,2697.200,10.83350000,29220.1162
ASK,2697.220,0.00310000,8.361381999999999
ASK,2697.240,0.00410000,11.058684
ASK,2697.270,0.00810000,21.847887
ASK,2697.280,3.66040000,9873.123712
ASK,2697.300,0.00190000,5.1248700000000005
ASK,2697.310,0.02950000,79.570645
ASK,2697.320,0.16850000,454.49842000000007
ASK,2697.350,0.00290000,7.822314999999999
ASK,2697.370,9.30520000,25099.567323999996
ASK,2697.390,0.00220000,5.934258
ASK,2697.400,0.00530000,14.29622
ASK,2697.420,0.09500000,256.2549
ASK,2697.470,0.00520000,14.026843999999999
ASK,2697.480,0.01950000,52.60086
ASK,2697.490,1.07570000,2901.689993
ASK,2697.500,0.00730000,19.69175
ASK,2697.530,0.00250000,6.743825000000001
ASK,2697.590,0.01290000,34.798911000000004
ASK,2697.600,0.03540000,95.49504
ASK,2697.610,0.00310000,8.362591
ASK,2697.630,13.09740000,35331.939162
ASK,2697.640,0.00810000,21.850883999999997
ASK,2697.660,0.00190000,5.125553999999999
ASK,2697.670,0.00810000,21.851126999999998
ASK,2697.680,0.04850000,130.83748
ASK,2697.700,0.00460000,12.409419999999999
ASK,2697.720,0.00220000,5.934984
ASK,2697.740,0.00280000,7.553672
ASK,2697.750,0.00200000,5.3955
ASK,2697.760,0.00190000,5.125744
ASK,2697.770,0.00590000,15.916843
ASK,2697.790,0.04440000,119.781876
ASK,2697.850,1.79220000,4835.08677
ASK,2697.900,0.04610000,124.37319000000001
ASK,2697.910,0.00210000,5.665610999999999
ASK,2697.950,0.00860000,23.20237
ASK,2697.970,0.00210000,5.665736999999999
ASK,2697.990,0.06500000,175.36935
ASK,2698.000,0.00250000,6.745
ASK,2698.010,0.00390000,10.522239
ASK,2698.020,0.00430000,11.601486
ASK,2698.140,0.00200000,5.39628
ASK,2698.150,0.16690000,450.321235
ASK,2698.180,0.00440000,11.871992
ASK,2698.220,0.01340000,36.156148
